date,open,high,low,close,volume
1/19/2023,94.77260793,95.8671877,93.31316591,95.04624939,452507
1/20/2023,96.14083148,96.14083148,92.40100931,93.67801666,500706
1/23/2023,94.31652815,95.41110788,94.04287974,95.13746643,279689
1/24/2023,95.04624874,95.86718705,92.67465461,93.76924133,389089
1/25/2023,93.40437656,95.13746694,92.76586591,94.95503235,412194
1/26/2023,95.046246,96.59690874,95.046246,95.77597046,465346
1/27/2023,95.77597046,95.77597046,95.77597046,95.77597046,0
1/30/2023,97.60027313,98.05634917,95.41110674,97.60027313,579698
1/31/2023,97.32663073,99.42458344,96.77934083,99.42458344,564704
2/1/2023,99.9718672,101.5225299,98.51242525,99.88065338,574512
2/2/2023,100.9752345,108.0900236,100.701593,107.9988098,875608
2/3/2023,105.6272209,106.6305869,103.8029166,104.623848,548902
2/6/2023,103.0731892,104.2589897,100.6103812,101.4313126,473779
2/7/2023,101.8873899,103.5292666,100.5191617,102.7083282,261116
2/8/2023,103.5292691,104.8974973,101.4313163,103.8029175,402401
2/9/2023,104.5326277,105.1711383,103.9853378,104.4414139,375664
2/10/2023,103.9853424,104.8974945,103.1644041,103.5292664,359651
2/13/2023,103.8029175,104.532635,102.1610408,103.8029175,224309
2/14/2023,104.532625,104.988701,103.2556107,104.1677628,271234
2/15/2023,104.2589954,105.0799267,103.6204847,104.8974991,210834
2/16/2023,105.0799159,105.4447781,102.5258942,104.8062744,249481
2/17/2023,104.4414232,104.7150717,103.073195,104.076561,316663
2/20/2023,104.7150623,104.9887037,103.9853378,104.4414139,157896
2/21/2023,103.9853436,104.7150681,102.9819777,103.3468399,180455
2/22/2023,102.6171142,103.8029148,101.5225345,103.5292664,267829
2/23/2023,103.8941213,104.7150596,102.9819693,104.1677628,232184
2/24/2023,104.3502111,104.3502111,100.6103885,100.7928162,536045
2/27/2023,102.3434579,103.711686,101.5225266,102.8907547,346989
2/28/2023,102.2522566,104.6238509,101.6137529,104.076561,426939
3/1/2023,104.3502019,104.7150642,103.0731876,103.2556152,273861
3/2/2023,102.6171129,103.2556166,102.069823,102.2522507,356562
3/3/2023,102.4346884,105.1711448,102.3434676,104.623848,519714
3/6/2023,104.3502092,105.1711475,104.0765607,104.8974991,395790
3/7/2023,104.6238461,107.086661,104.4414184,105.8096466,347210
3/8/2023,105.4447828,107.9988115,105.353569,107.6339493,407705
3/9/2023,107.3603024,107.7251647,104.5326322,105.8096466,520674
3/10/2023,103.8029195,104.076561,101.7961806,104.076561,603948
3/13/2023,104.0765466,106.4481405,97.78269612,99.33335876,666452
3/14/2023,100.7928143,104.8974991,99.51579991,104.8974991,767053
3/15/2023,104.8974975,106.4481534,102.0698272,102.9819794,618461
3/16/2023,104.8062759,105.9008557,102.5258957,105.262352,423757
3/17/2023,105.8096453,106.7217974,102.8907613,104.5326309,1214764
3/20/2023,102.161034,103.7116897,101.1576681,102.7995377,375139
3/21/2023,104.4414139,104.7150623,103.5292618,104.4414139,399084
3/22/2023,104.8974898,107.3602976,104.6238414,105.262352,411365
3/23/2023,105.0799147,105.6272115,103.4380451,104.9887009,281331
3/24/2023,104.897496,105.353572,101.8873911,102.5259018,425194
3/27/2023,104.0765535,106.6305822,104.0765535,105.5359955,344569
3/28/2023,106.1745024,106.35693,105.2623503,105.6272125,146398
3/29/2023,106.6305845,107.4515228,105.3535702,107.4515228,394331
3/30/2023,107.8163738,108.5460983,106.3569319,106.7217941,347775
3/31/2023,106.9954456,107.6339493,105.9008589,107.6339493,332958
4/3/2023,107.6339478,108.4092756,106.9042233,107.1778717,238364
4/4/2023,107.405908,107.8619841,107.0866562,107.5427322,272589
4/5/2023,107.7251599,107.7251599,106.7674044,107.5427322,331991
4/6/2023,107.1322596,107.7251599,106.4481456,107.5427322,160040
4/11/2023,108.318063,109.2302151,107.9075973,108.1356354,205350
4/12/2023,108.3636785,109.5494721,108.1812439,108.1812439,267911
4/13/2023,108.2724482,108.7741346,107.8163722,108.2268448,201078
4/14/2023,108.6829254,109.1390015,108.0900252,108.4548874,205994
4/17/2023,109.0021712,109.1389954,106.7674015,106.9498291,335952
4/18/2023,107.4971205,107.7707689,105.8552509,106.2657166,262772
4/19/2023,106.0832906,106.0832906,104.8062763,105.900856,207570
4/20/2023,105.855251,105.855251,102.0242081,103.1643982,384768
4/21/2023,103.8941331,105.216751,103.6660951,104.8974991,317729
4/24/2023,104.760673,105.5816113,104.0309555,104.9431076,157787
4/25/2023,104.6238461,105.1711429,104.0309528,104.6694565,177181
4/26/2023,104.2133791,105.0343174,103.7116926,104.5326309,230911
4/27/2023,104.7606703,105.3079602,103.0275799,103.5292664,263064
4/28/2023,104.3958048,104.3958048,101.2944933,103.4380493,332324
5/2/2023,104.1221592,104.1677626,100.5647648,100.7471924,355503
5/3/2023,101.8417837,101.8417837,97.91952683,100.975235,536553
5/4/2023,102.890763,102.9363665,100.3367343,101.8873901,377643
5/5/2023,102.3890765,105.3535709,102.3890765,105.3079605,388325
5/8/2023,105.2623478,105.2623478,102.6171055,103.7116852,275774
5/9/2023,103.9853397,104.8518814,102.7083254,103.2556152,254158
5/10/2023,103.666089,104.6238446,103.3468372,104.2133789,242344
5/11/2023,104.1221607,105.399175,103.5748708,104.3045883,243515
5/12/2023,104.3045883,104.3045883,104.3045883,104.3045883,0
5/15/2023,105.6272173,105.8552553,104.7606686,105.034317,241680
5/16/2023,104.8974911,104.8974911,102.5715005,103.1187973,227637
5/17/2023,102.8451446,102.9363584,102.206641,102.3890686,260589
5/18/2023,102.9363587,105.3991735,102.8907553,104.9887009,289506
5/19/2023,105.8552538,108.2724513,105.6728192,107.9988098,458710
5/22/2023,108.3180545,109.8687101,107.9988026,109.7774963,333841
5/23/2023,109.8687101,110.1879689,108.7285201,109.7774963,237142
5/24/2023,108.7285278,108.7285278,104.3958054,105.5359955,323666
5/25/2023,106.0376802,106.5393666,104.4870244,104.7606659,220270
5/26/2023,105.3991737,108.0444092,105.2623495,107.5883331,201763
5/29/2023,108.5461048,108.8197533,106.6305867,106.9042282,140355
5/30/2023,107.041046,108.0444119,106.4481457,106.7217941,163556
5/31/2023,105.9008542,107.6339445,104.9430987,105.9464645,855104
6/1/2023,107.1778684,107.1778684,104.7150606,105.9464645,254524
6/2/2023,106.7674076,108.0900253,105.6728208,107.6339493,247854
6/5/2023,107.3602992,108.4548859,106.7217955,107.9988098,244396
6/6/2023,107.6795562,108.1356323,105.5359933,106.0832901,229895
6/7/2023,106.3569382,107.6339525,105.9008621,106.5849762,183837
6/8/2023,105.9464721,108.1356386,105.6728237,107.0866623,156671
6/9/2023,107.4515235,107.6795616,106.3113334,106.4481506,183817
6/12/2023,107.451522,108.4548879,107.0866598,107.1322632,173532
6/13/2023,107.8619875,108.7285292,107.3146976,107.9532013,333155
6/14/2023,108.0444088,109.6406749,106.7674015,106.9498291,459165
6/15/2023,106.9498333,107.0866575,103.0731869,104.2589874,494162
6/16/2023,104.6694456,105.9008495,103.8485074,104.5782318,733760
6/19/2023,104.3502048,104.3958083,103.4836561,103.8485184,160645
6/20/2023,103.6660939,103.6660939,102.115431,102.4802933,228620
6/21/2023,102.6171114,102.9819736,101.2944936,101.7961731,203835
6/22/2023,101.2488889,101.3857131,99.01411888,100.3823471,278410
6/23/2023,100.3823489,100.4735627,98.87729645,98.87729645,309855
6/26/2023,99.51579591,100.0174824,98.1931781,99.28775787,256845
6/27/2023,99.78943799,99.83504142,97.73709583,98.28438568,283316
6/28/2023,98.8772937,100.2455219,98.3300038,99.74383545,253078
6/29/2023,100.4895665,103.9880537,100.3975023,103.3896332,379901
6/30/2023,103.942023,104.9087072,102.9753317,104.7245789,322740
7/3/2023,105.8753987,107.164318,104.5404508,104.632515,284376
7/4/2023,104.4944141,105.4611053,103.4816943,105.1388702,180288
7/5/2023,104.4944156,105.2309429,103.2054963,104.2642517,237927
7/6/2023,103.849957,103.849957,100.2133631,100.8578262,294268
7/7/2023,100.397497,101.6403807,99.2466775,101.5943451,247272
7/10/2023,101.7324512,103.1594703,100.8578311,102.3769073,220788
7/11/2023,103.2054971,103.8499602,102.330877,103.6658249,273215
7/12/2023,104.1261509,105.6452341,102.9753313,105.0928421,270861
7/13/2023,105.4150775,106.3817688,104.1721937,105.3230133,199183
7/14/2023,105.4150767,105.7373048,104.7706205,105.599205,150511
7/17/2023,104.6785426,105.5071341,103.0673952,105.184906,200851
7/18/2023,105.5531645,105.5531645,103.6197891,103.6197891,197994
7/19/2023,104.0340881,104.7706155,103.6658245,104.0340881,190588
7/20/2023,103.8039247,104.4944165,103.4816967,103.5277252,145196
7/21/2023,103.4816984,104.1721901,102.3769073,102.3769073,278759
7/24/2023,102.192779,103.1594703,101.7784868,102.6991425,255335
7/25/2023,103.1594631,103.8039192,101.5022802,102.1927719,273189
7/26/2023,102.1927825,102.1927825,98.23396021,100.0752716,604215
7/27/2023,100.7657543,101.7324455,99.89113427,101.1340179,479049
7/28/2023,101.2721147,103.7118534,100.581623,103.3435898,358413
7/31/2023,103.1594703,103.6658267,102.2848432,102.3769073,266562
8/1/2023,102.4689773,103.711861,100.9959226,103.4816971,315612
8/2/2023,102.0546762,104.5864792,101.41022,104.5864792,353797
8/3/2023,103.9880563,104.4023556,100.9498968,101.5022888,320772
8/4/2023,102.1927802,102.6070725,100.995925,101.7324524,183600
8/7/2023,101.2721198,101.3641839,98.69428119,99.61493683,282975
8/8/2023,99.20064732,100.3514669,96.99107233,97.77362823,574078
8/9/2023,97.95775793,98.4641143,96.71487427,96.71487427,318196
8/10/2023,97.31329403,98.23394963,96.85296623,96.99106598,290921
8/11/2023,96.76090281,97.4974301,96.02438254,96.39263916,225376
8/14/2023,95.88629107,96.668847,95.01166395,96.25455475,197450
8/15/2023,96.20851217,96.62280439,94.87356433,95.47198486,166457
8/16/2023,95.37992781,96.53074742,95.19579948,95.97835541,148680
8/17/2023,95.24182073,96.89900365,95.01165682,95.88628387,200210
8/18/2023,95.24182322,95.37992298,92.34176358,93.99893951,466102
8/21/2023,93.8608401,95.195795,93.53861203,93.76877594,154361
8/22/2023,94.68943261,94.68943261,93.07828522,93.07828522,182070
8/23/2023,93.40051476,93.49258594,92.01032975,92.34176636,288345
8/24/2023,92.98622265,93.44655049,91.84461159,91.99191284,151933
8/25/2023,91.69730352,93.07828702,91.25539273,92.11160278,165064
8/28/2023,92.89415792,93.26242159,92.29573033,92.38779449,136725
8/29/2023,93.03225482,94.50530243,92.71001972,94.50530243,201601
8/30/2023,94.82753263,94.87356822,92.61795765,92.98622131,243046
8/31/2023,93.40051228,94.18307519,92.8481203,93.76877594,417224
9/1/2023,93.72274504,93.72274504,89.98487844,90.37155914,476292
9/4/2023,90.99759676,91.9919065,90.94235967,91.03442383,170763
9/5/2023,90.86870311,93.26241324,90.44520238,92.84811401,388852
9/6/2023,92.29572831,93.99893985,92.15762856,93.76877594,321633
9/7/2023,93.17034192,94.50529672,92.71,93.12431335,223764
9/8/2023,92.75605723,93.40051338,92.341765,93.26242065,237333
9/11/2023,93.81480518,94.32116154,92.80208545,92.84811401,218326
9/12/2023,93.17035093,93.26242211,92.02873986,92.20366669,316513
9/13/2023,92.02874039,93.95291441,91.14491179,91.73413086,384459
9/14/2023,91.8814346,91.8814346,88.62231283,89.56137848,719509
9/15/2023,90.35314801,91.45793202,88.99058154,91.23697662,819190
9/18/2023,91.2369728,91.2369728,88.19881339,88.60389709,359593
9/19/2023,88.75120677,89.83758072,86.79941425,87.75689697,784850
9/20/2023,87.90420616,88.43818111,86.92830638,87.13085175,486217
